ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Eelgrass coverage/density,Other - Eelgrass coverage/density,Bottom Type,Other - Bottom Type,Edge Present (patchiness),Motile Organisms,Other - Motile Organisms,Tunicates and other adhered organisms,Other - Tunicates and other adhered organisms,Algae Survey (not adhered to eelgrass),Reproduction,Other - Reproduction,Techniques deployed here,Other - Techniques deployed here,Researchers' Name/s,"filename of footage, tracks etc.",Length of Longest Leaf,Shoot Width,Number of leaves per plant,x,y
11,0810a1f5-bf24-4a01-a2e9-560c7fee71ad,7/14/2019 8:28:35 PM,susangbryant_Cohasset,7/14/2019 8:28:35 PM,susangbryant_Cohasset,7/14/2019 8:20:00 PM,25_,,"sand,gravel,shells",,edge_visible_within_3_meters,"spider_crab,periwinkle_snail",,"larger_than_1_cm,orange,other",2cm orange and filamentous adhered and calciferous dots,"dendritictreelike,green",none,,"float_over,plant_sample_collected_for_lab,gps_waypoint_marked",,B.B.,,,,,-70.7862361147042,42.2526027389242
12,08821555-fa4b-497d-b978-cfbd263fd985,7/14/2019 8:40:31 PM,susangbryant_Cohasset,7/14/2019 8:40:31 PM,susangbryant_Cohasset,7/14/2019 8:34:00 PM,75,,"sand,shells",,edge_visible_within_3_meters,,,other,Filamentous adhered ,none,seed_podsbranchiness,,"float_over,gopro_video_on_quadrat,plant_sample_collected_for_lab",,Lucy at wpt 175 can’t touch bottom,,,,,-70.7777204365197,42.249950920271
13,51969d6c-a0ef-4d1d-9872-41e7e86cf624,7/14/2019 11:15:15 PM,,7/14/2019 11:15:15 PM,,7/14/2019 8:18:00 PM,50,,"stony_cobble,shells",,edge_visible_within_3_meters,"hermit_crab,green_crab,other",Oyster ,smaller_than_1_cm,,filamentous_like_hairfur,,,"float_over,quadrat_observations_by_swimmer",,"Lucy, Andrew, Brendan, and Susan",,,,,-70.77513126663,42.2498262394613
14,8e329377-5c03-4022-b304-f9c4ec27cd69,7/14/2019 11:16:07 PM,,7/14/2019 11:16:07 PM,,7/14/2019 11:15:00 PM,none,,,,,,,,,,,,float_over,,,,,,,-70.787026695973,42.2386124683937
15,1e1612d3-f56f-4c3a-9f4d-803941a37eb8,7/15/2019 12:20:43 AM,susangbryant_Cohasset,7/15/2019 12:20:43 AM,susangbryant_Cohasset,7/14/2019 8:45:00 PM,75,,sand,,edge_visible_within_3_meters,,,,,,seed_podsbranchiness,,"float_over,gopro_video_on_quadrat,gps_waypoint_marked",,,,,,,-70.780567433751,42.2497924603915
16,1b91d33a-41c6-4a99-83cb-cfd4a52a9020,7/19/2019 11:35:50 AM,cscrresearcher_Cohasset,7/19/2019 11:35:50 AM,cscrresearcher_Cohasset,7/19/2019 11:34:00 AM,none,,"solid_granite_rock,shells,mud_more_slick_than_sand",,all_the_same_no_edge,"spider_crab,periwinkle_snail,fish,flounder",,smaller_than_1_cm,,"lettuce_leafy,air_bladders,dendritictreelike,filamentous_but_thicker_than_ha",seed_podsbranchiness,,"float_over,swimmers_in_50_radius_observing",,S.B L.C,,100_cm,10mm,,-70.7873860316217,42.2389882305254
17,1a2e83a9-2614-49a7-88a6-db9e82511b4e,7/19/2019 11:36:10 AM,susangbryant_Cohasset,7/19/2019 11:36:10 AM,susangbryant_Cohasset,7/19/2019 11:34:00 AM,none,,other,Lab table,edge_visible_within_3_meters,,,none_found,,,,,,,Susan’s phone,,,,,-70.7872790538401,42.2389319316417
18,45e8180f-0814-410b-b38f-3ac87042da73,7/19/2019 11:39:53 AM,,7/19/2019 11:41:09 AM,susangbryant_Cohasset,7/19/2019 11:38:00 AM,75,,"mud_more_slick_than_sand,shells",,all_the_same_no_edge,flounder,,orange,,filamentous_like_hairfur,solo_colonizing_plant_from_seed,,"float_over,swimmers_in_50_radius_observing",,L.C with wifi off,,75_cm,8mm,,-70.7868966088358,42.2387355566418
19,f53a3cd0-55d6-403b-9ed1-f2c1eda5ef1c,7/19/2019 12:12:13 PM,susangbryant_Cohasset,7/19/2019 12:12:13 PM,susangbryant_Cohasset,7/19/2019 12:07:00 PM,100,,,,all_the_same_no_edge,periwinkle_snail,,"larger_than_1_cm,orange,other",Filamentous,"red,filamentous_like_hairfur",seed_podsbranchiness,,"float_over,gopro_video_on_quadrat,gps_waypoint_marked",,Susan,,,,,-70.7775522117231,42.2500471445194
20,5735d7a0-5214-4ac6-8eb4-f2d64d2023c1,7/19/2019 12:12:15 PM,,7/19/2019 12:12:15 PM,,7/19/2019 12:08:00 PM,100,,solid_granite_rock,,all_the_same_no_edge,periwinkle_snail,,"larger_than_1_cm,orange",,filamentous_like_hairfur,seed_podsbranchiness,,"float_over,gps_waypoint_marked,gopro_video_on_quadrat",,,,,,,-70.7775859069738,42.249991949687
21,f2e1ed11-eb1c-4a8f-bff7-371e19d9759b,7/19/2019 12:15:05 PM,susangbryant_Cohasset,7/19/2019 1:49:17 PM,susangbryant_Cohasset,7/19/2019 12:12:00 PM,100,,,see GoPro,all_the_same_no_edge,,"amphipod, isopod","other,larger_than_1_cm,orange",Filamentous lots ,"filamentous_like_hairfur,whitepale",seed_podsbranchiness,,float_over,,Susan eelgrass laying just under surface ,,,,,-70.7772935461912,42.2497316077745
22,e669f464-bd33-425c-b4ec-2844ea3ee517,7/19/2019 12:32:08 PM,susangbryant_Cohasset,7/19/2019 2:01:40 PM,susangbryant_Cohasset,7/19/2019 12:28:00 PM,100,,,see gopro,all_the_same_no_edge,"periwinkle_snail,other","Amphipod and creature double feature shrimp, isopod","larger_than_1_cm,orange,other",Epiphytes,"filamentous_like_hairfur,whitepale",seed_podsbranchiness,,"float_over,gopro_video_on_quadrat,plant_sample_collected_for_lab,gps_waypoint_marked,other",Dragged gopro to here,Susan grab. 151 cm longest,184 waypoint plus gopro TBD,,6mm,,-70.7773373835448,42.2496689949578
23,2005f08e-3b36-4e46-85a9-3793254c69aa,7/19/2019 12:48:05 PM,susangbryant_Cohasset,7/19/2019 12:48:05 PM,susangbryant_Cohasset,7/19/2019 12:44:00 PM,other,Secci on bottom,,,,,,,,,,,"float_over,secci_disk,gopro_video_on_quadrat,other",2.5 m on bottom,Lucy doing the work ,,,,,-70.7778418902967,42.2527790163106
24,e3c01a3c-d741-4eeb-a371-9ddc44f9f671,7/19/2019 12:58:00 PM,susangbryant_Cohasset,7/19/2019 12:58:00 PM,susangbryant_Cohasset,7/19/2019 12:55:00 PM,other,See gopro,other,4m deep. Secci til 3m,,,,,,,,,"float_over,gps_waypoint_marked,gopro_video_on_quadrat,secci_disk",,Secci2 waypoint ,,,,,-70.7807713654551,42.2526664892605
25,d790891a-7511-44c9-99c1-ab531d2d684e,7/19/2019 1:05:07 PM,susangbryant_Cohasset,7/19/2019 1:05:07 PM,susangbryant_Cohasset,7/19/2019 1:03:00 PM,other,See gopro ,other,2.75 depth secci at 2.5 m,,,,,,"red,filamentous_like_hairfur,brown",,,"float_over,gopro_video_on_quadrat,secci_disk",,Lucy at 173,,,,,-70.7848849708874,42.2375387936249
26,cc6bff96-b81b-440f-8e26-fbadeea3186c,7/19/2019 3:21:24 PM,susangbryant_Cohasset,7/19/2019 3:21:24 PM,susangbryant_Cohasset,7/19/2019 3:19:00 PM,other,See gopro2,other,4m secci ,,,,,,,,,"float_over,gopro_video_on_quadrat,secci_disk,gps_waypoint_marked",,"Kai, Noah, Rosie, cam, Jacob, Blake ",,,,,-70.7811759599212,42.252698214764
27,1cd94989-5bda-4d2f-8167-aacaf7260464,7/22/2019 1:25:36 PM,susangbryant_Cohasset,7/22/2019 1:25:36 PM,susangbryant_Cohasset,7/22/2019 1:19:00 PM,other,Secci disc 4.20 deep 3.75 visibility ,,,,,,,,"red,filamentous_like_hairfur,kelp",,,"float_over,secci_disk,gps_waypoint_marked",,Secci2 Lucy & Susan,,,,,-70.7801397890512,42.2528546629867
28,7e7cc86a-da48-40d4-b8e2-d71c384d76c3,7/22/2019 1:26:54 PM,susangbryant_Cohasset,7/22/2019 1:26:54 PM,susangbryant_Cohasset,7/22/2019 1:25:00 PM,other,See gopro,,,,,,,,,,,"float_over,gopro_video_on_quadrat",,Lucy Susan,,,,,-70.7796326000903,42.2527775494775
29,ea53d057-4653-421a-baed-78d7b10556b5,7/22/2019 3:13:35 PM,,7/22/2019 3:13:35 PM,,7/22/2019 2:57:00 PM,75,,sand,,edge_visible_within_3_meters,"spider_crab,hermit_crab",,"larger_than_1_cm,orange",,red,seed_podsbranchiness,,float_over,,Liam and Lucy,,75_cm,,,-70.7785480656389,42.2482693847662
30,77945af3-7633-4ad1-90af-e74a6e33b1a9,7/22/2019 3:34:35 PM,,7/22/2019 3:34:35 PM,,7/22/2019 3:21:00 PM,75,,gravel,,edge_visible_within_3_meters,hermit_crab,,orange,,filamentous_like_hairfur,seed_podsbranchiness,,float_over,,Liam,,50_cm,2mm,,-70.7769436017338,42.252283142919
31,23ac4d69-70e7-4bf7-9c32-7e1b2181e3c3,7/24/2019 3:04:14 PM,,7/24/2019 3:04:14 PM,,7/24/2019 2:56:00 PM,75,,stony_cobble,,edge_visible_within_3_meters,,,"orange,larger_than_1_cm",,filamentous_like_hairfur,none,,"float_over,gopro_swimming",,Liam,,,,,-70.7779308222893,42.2494521132132
32,07e27831-8945-4b3e-86d3-5320445392a3,7/24/2019 3:04:32 PM,susangbryant_Cohasset,7/24/2019 3:04:32 PM,susangbryant_Cohasset,7/24/2019 3:00:00 PM,75,,stony_cobble,,edge_visible_within_3_meters,,,"larger_than_1_cm,orange",,filamentous_like_hairfur,,,float_over,,Liam Holden,,,,,-70.7779743243668,42.2494457010573
33,1da4f3a8-f874-4536-8fe3-9ec497e713c4,7/24/2019 3:19:32 PM,susangbryant_Cohasset,7/24/2019 3:19:32 PM,susangbryant_Cohasset,7/24/2019 3:12:00 PM,100,,"stony_cobble,clay_harder_than_mud,shells",,all_the_same_no_edge,green_crab,,larger_than_1_cm,,dendritictreelike,seed_podsbranchiness,,"float_over,gopro_video_on_quadrat",,,,,,,-70.7772517204943,42.2504559299371
34,3c98f505-a81d-4e7a-994a-59f11a80b290,7/24/2019 3:19:45 PM,,7/24/2019 3:19:45 PM,,7/24/2019 3:12:00 PM,100,,"stony_cobble,shells",,all_the_same_no_edge,green_crab,,"larger_than_1_cm,orange",,"dendritictreelike,filamentous_like_hairfur",seed_podsbranchiness,,"float_over,swimmers_in_50_radius_observing,gopro_video_on_quadrat",,Liam,,,,,-70.7772751898233,42.2505059279895
35,a702c4cb-874a-47bb-a92c-986cb693e920,7/24/2019 3:33:31 PM,susangbryant_Cohasset,7/24/2019 3:33:31 PM,susangbryant_Cohasset,7/24/2019 3:24:00 PM,75,,stony_cobble,,all_the_same_no_edge,hermit_crab,,larger_than_1_cm,,none,,,"float_over,secci_disk,gopro_video_on_quadrat",,,,,,,-70.776415709472,42.252967860589
36,24392767-fce7-4c4d-87de-47ff2b8886b2,7/24/2019 3:33:32 PM,,7/25/2019 6:20:03 PM,cscrresearcher_Cohasset,7/24/2019 3:24:00 PM,100,,"stony_cobble,shells",,all_the_same_no_edge,hermit_crab,,"larger_than_1_cm,orange",,none,none,,"float_over,gopro_video_on_quadrat,swimmers_in_50_radius_observing",,Liam. Depth 2m,,,,,-70.7764370833251,42.2529986221737
37,a9307e80-67b0-4c95-abb5-199944d6e9e7,7/25/2019 3:52:00 PM,,7/25/2019 3:52:00 PM,,7/25/2019 3:51:00 PM,50,,sand,,edge_visible_within_3_meters,,,,,,,,float_over,,,,,,,-70.7784601394746,42.248694179619
38,a82e29d9-a687-43b8-8d05-76f8e21d07d6,7/25/2019 3:52:36 PM,,7/25/2019 3:52:36 PM,,7/25/2019 3:52:00 PM,75,,sand,,edge_visible_within_3_meters,,,,,filamentous_like_hairfur,,,float_over,,,,,,,-70.7790209726158,42.2488082573211
39,5e6f8d26-3c4a-410e-8651-da3c1489d57a,7/26/2019 5:30:10 PM,cscrresearcher_Cohasset,7/26/2019 5:30:10 PM,cscrresearcher_Cohasset,7/26/2019 5:29:00 PM,other,"3.75 depth, 3.5 secci",,,,,,,,,,,float_over,,,,,,,-70.7839890942637,42.2511538071951
40,22dd32c2-251d-4d9f-9185-28391b943af8,7/26/2019 5:32:33 PM,,7/26/2019 5:32:33 PM,,7/26/2019 5:20:05 PM,other,,,,,,,,,,,,,,,,,,,-70.7848194894109,42.2504049260563
41,5dfd159c-9d01-4ffe-a25e-1314bbbeaa79,7/26/2019 5:44:23 PM,cscrresearcher_Cohasset,7/26/2019 5:44:23 PM,cscrresearcher_Cohasset,7/26/2019 5:39:00 PM,100,,,,,,,,,,,,"float_over,gopro_video_on_quadrat",,Lucy,,,,,-70.7853408437881,42.2499504173568
42,d53d50d9-6721-4419-a07a-ede09e05c887,7/26/2019 5:49:23 PM,,7/26/2019 5:49:23 PM,,,other,,,,,,,,,,,,Go pro on quadrat,,,,,,,-70.7855467871491,42.2499992000333
43,e5a13657-36d3-48f6-8f40-8a6f999ce940,7/26/2019 5:54:46 PM,,7/26/2019 5:54:46 PM,,7/26/2019 5:44:00 PM,other,Go pro1:49 pm,,,,,,,,,,,"float_over,gopro_video_on_quadrat",,Lucy way back on anchor ,,,,,-70.7855869364653,42.2499657981491
44,f39893bb-61cb-495f-bef8-cb2e287e4ba7,7/26/2019 5:57:22 PM,,7/26/2019 5:57:22 PM,,7/26/2019 5:56:00 PM,other,Go pro upwind from a joe,,,,,,,,,,,float_over,,Lucy,,,,,-70.7851038873855,42.2499456815815
45,4f616c8d-d28e-4893-8992-5f4c16eaafc1,7/26/2019 6:01:00 PM,,7/26/2019 6:01:00 PM,,,other,,,,,,,,,,,,,,,,,,,-70.7848034799758,42.24938141186
46,b981d1f2-c5ea-4dcd-8495-824d188cd12c,7/26/2019 6:02:29 PM,,7/26/2019 6:02:29 PM,,7/26/2019 6:02:00 PM,other,GoPro Lucy ,,,,,,,,,,,float_over,,,,,,,-70.7847333234463,42.2494148975632
47,16f1772d-59ff-4e96-bd76-d6f1d62c42bb,7/26/2019 6:20:54 PM,,7/26/2019 7:16:32 PM,susangbryant_Cohasset,7/26/2019 6:16:00 PM,other,4 m visibility at bottom,,,,,,,,,,,float_over,,,,,,,-70.7804836985383,42.2552743507943
48,ec0ed456-9ba2-442c-9022-b8726d6df10d,7/26/2019 6:28:23 PM,,7/26/2019 6:28:23 PM,,7/26/2019 6:26:00 PM,other,Secci 5 m on bottom visibility ,,,,,,,,,,,float_over,,,,,,,-70.7745726127837,42.256510430055
49,f1d38d59-ed1b-4ec2-8d12-2c18ac3fb147,7/26/2019 6:35:05 PM,,7/26/2019 6:35:05 PM,,7/26/2019 6:32:00 PM,other,Secci 6 m visibility not on bottom,,,,,,,,,,,float_over,,,,,,,-70.7728758641246,42.2588443709931
50,f6705da6-b8c3-4029-b1ac-3e4eb8ad89b2,7/26/2019 6:46:33 PM,,7/26/2019 6:46:33 PM,,7/26/2019 6:45:00 PM,other,Secci 3.25 plus algae and kelp,,,,,,,,,,,float_over,,"L.C, S.B",,,,,-70.7840811275605,42.2482213983706
51,a1cc3d05-5aef-447e-a0f2-355761fecbf3,7/26/2019 7:05:17 PM,,7/26/2019 7:05:17 PM,,7/26/2019 6:56:00 PM,other,Secci 2m no bottom ,,,,,,,,,,,float_over,,,,,,,-70.7929408830318,42.2404991090691
52,1f3e769c-fa66-42f8-8186-f127622823ea,7/26/2019 7:06:22 PM,,7/26/2019 7:06:22 PM,,7/26/2019 7:05:00 PM,other,Secci 2m visibility,,,,,,,,,,,float_over,,,,,,,-70.7868910767797,42.2393357847279
53,33e33c0a-569b-4f05-8df3-ad6db7f87d2e,7/26/2019 7:07:59 PM,,7/26/2019 8:54:32 PM,susangbryant_Cohasset,7/26/2019 7:06:00 PM,other,Secci 1.5 m visibility ,,,,,,,,,,,float_over,,Lucy,Secci 1.5 m visibility,,,,-70.7870034781013,42.2393318452334
54,e755a514-6739-42f7-89fa-62f76bb4a948,7/30/2019 7:28:20 PM,cscrresearcher_Cohasset,7/30/2019 7:28:20 PM,cscrresearcher_Cohasset,7/30/2019 7:27:00 PM,other,Secci- 3.5 m visibility ,,,,,,,,,,,float_over,,,,,,,-70.7698634184891,42.248098161451
55,52149582-fe91-4926-b39b-b1b976c4631b,7/30/2019 7:45:15 PM,,7/30/2019 7:45:15 PM,,7/30/2019 7:44:00 PM,none,,stony_cobble,,,,,,,,,,float_over,,,,,,,-70.774518130413,42.2527829138956
56,df6ac40d-6f8f-4370-a83b-3867a6852060,7/30/2019 7:49:52 PM,,7/31/2019 8:35:07 PM,susangbryant_Cohasset,7/30/2019 7:46:00 PM,100,,stony_cobble,,edge_visible_within_3_meters,,,,,,,,float_over,,,GH016484,,,,-70.7746597845766,42.2528227279356
57,365595a5-b7fc-402a-b06a-88581d9a4095,7/30/2019 7:50:44 PM,,7/30/2019 7:50:44 PM,,7/30/2019 7:50:00 PM,75,,,,,,,,,,,,float_over,,,,,,,-70.7747985888932,42.25294527136
58,600e2563-8b42-4fdd-a5c5-1b28652d8d86,7/30/2019 8:08:34 PM,,7/31/2019 8:56:53 PM,susangbryant_Cohasset,7/30/2019 8:02:00 PM,75,,"stony_cobble,mud_more_slick_than_sand",,all_the_same_no_edge,"periwinkle_snail,other",Creature double feature ,"smaller_than_1_cm,larger_than_1_cm,orange,calciferous_coverage,epiphytes,other",Albino tunicates,none,none,,"gopro_video_on_quadrat,plant_sample_collected_for_lab,gopro_swimming,wading,quadrat_observations_by_swimmer",,Lucy susan,GH016485 Many GoPro drops and drags,100_cm,,6,-70.7752186060611,42.2526456183216
59,cb1f11f8-b715-4345-bb35-b5b84e7537d7,7/30/2019 8:14:58 PM,,7/30/2019 8:14:58 PM,,7/30/2019 8:10:00 PM,50,,"mud_more_slick_than_sand,gravel",,all_the_same_no_edge,"periwinkle_snail,hermit_crab",,"larger_than_1_cm,orange,calciferous_coverage,epiphytes",,none,none,,"quadrat_observations_by_swimmer,wading",,Susan,,100_cm,,,-70.7751547359589,42.2526213946214
60,24f5e2fb-de81-46a2-a08e-0ad13570962e,7/30/2019 8:20:03 PM,,7/30/2019 8:20:03 PM,,7/30/2019 8:15:00 PM,75,,"sand,gravel",,all_the_same_no_edge,periwinkle_snail,,"smaller_than_1_cm,larger_than_1_cm,orange,calciferous_coverage,epiphytes,other",More calc here than west,none,none,,"gopro_video_on_quadrat,quadrat_observations_by_swimmer,wading",,Lucy geese ,,100_cm,,,-70.7750425022755,42.2525794851056
61,e74bff03-3263-432b-b347-343154f1a085,7/30/2019 8:23:32 PM,,7/30/2019 8:23:32 PM,,7/30/2019 8:21:00 PM,none,,stony_cobble,,edge_visible_within_3_meters,,,"smaller_than_1_cm,larger_than_1_cm,orange,calciferous_coverage",,"red,filamentous_like_hairfur,air_bladders,brown,green,dendritictreelike",none,,"wading,gopro_video_on_quadrat",,Susan,Bare patch,100_cm,,,-70.7749019377593,42.2525182133934
62,17d39ac5-33a5-40c2-b54c-681542c605e3,7/30/2019 8:26:57 PM,,7/30/2019 8:26:57 PM,,7/30/2019 8:23:00 PM,50,,"stony_cobble,sand",,edge_visible_within_3_meters,other,Shrimp 3cm,"smaller_than_1_cm,larger_than_1_cm",,none,none,,wading,,Susan,,,,,-70.7748418395135,42.2524859849757
63,8d9225e3-a9ef-454c-84e7-11e4adb6056c,7/30/2019 8:29:59 PM,,7/30/2019 8:29:59 PM,,7/30/2019 8:27:00 PM,50,,gravel,,edge_visible_within_3_meters,"periwinkle_snail,hermit_crab",,"smaller_than_1_cm,larger_than_1_cm,orange,calciferous_coverage,epiphytes",,"filamentous_like_hairfur,red,brown,air_bladders,green,dendritictreelike",none,,"wading,gopro_video_on_quadrat",,Susan Lucy,,,,,-70.7748145983282,42.252493319141
64,03b93b87-4c63-48b6-a078-ae236655f6b9,7/30/2019 8:32:34 PM,,7/31/2019 8:54:27 PM,susangbryant_Cohasset,7/30/2019 8:30:00 PM,none,,stony_cobble,,all_the_same_no_edge,hermit_crab,,"larger_than_1_cm,other,orange",Purple on rocks,"brown,air_bladders,green,dendritictreelike,filamentous_like_hairfur,red",,,wading,,Eastern Edge Eu oysters too,,,,,-70.7747685816798,42.2524845181427
65,576db4d7-44b9-4753-80c5-4a5d870c9a11,7/30/2019 8:41:13 PM,,7/31/2019 8:54:02 PM,susangbryant_Cohasset,7/30/2019 8:38:00 PM,25_,,"stony_cobble,gravel",,edge_visible_within_3_meters,periwinkle_snail,,"larger_than_1_cm,orange,calciferous_coverage,epiphytes",,"dendritictreelike,green,air_bladders,brown",none,,"gopro_video_on_quadrat,wading",,Lucy Edge outside Glades crescent ,,75_cm,,,-70.774684427372,42.2529741051069
66,1bf61c23-30ca-4b2c-b84b-423fe4dc0be2,7/30/2019 8:48:49 PM,,7/31/2019 8:51:35 PM,susangbryant_Cohasset,7/30/2019 8:46:00 PM,25_,,stony_cobble,,edge_visible_within_3_meters,,,"smaller_than_1_cm,orange,calciferous_coverage",,,seed_podsbranchiness,,wading,,Lucy Susan Edge inside glades crescent ,,50_cm,,,-70.7740359195236,42.2533566132581
67,3370f103-24ca-4616-9eb7-de3fa68d053d,8/1/2019 10:36:48 PM,,8/1/2019 10:36:48 PM,,8/1/2019 9:55:00 PM,other,,"gravel,stony_cobble,shells",,edge_visible_within_3_meters,,,"epiphytes,calciferous_coverage",,"filamentous_like_hairfur,kelp",,,"float_over,gopro_video_on_quadrat",,,,,,,-70.7742376719329,42.2565465141481
68,debab41f-2084-40bd-a922-1f3f64016e64,8/1/2019 10:36:49 PM,,8/1/2019 10:36:49 PM,,8/1/2019 9:51:00 PM,other,,other,,,,,,,,,,"float_over,secci_disk,gopro_video_on_quadrat",,,Succi disk not at bottom but 2.5 m visibility ,,,,-70.7770616189304,42.256174734833
69,f1f1bee1-9059-40c0-93c8-b94aa50f419b,8/1/2019 10:36:49 PM,,4/22/2020 8:41:28 PM,lucyayclay_Cohasset2,8/1/2019 9:45:00 PM,75,,other,Can’t see that far,edge_visible_within_3_meters,"Periwinkle_Snail,fish",,,,,,,"float_over,gopro_video_on_quadrat",,Susan Connie ,GH016517,,,,-70.7816580031726,42.2541516786835
70,ede07d18-6b61-4d3f-8d9a-e5efe102e2a2,8/1/2019 10:36:49 PM,,8/1/2019 10:36:49 PM,,8/1/2019 9:43:00 PM,none,,other,,all_the_same_no_edge,,,,,"filamentous_like_hairfur,kelp,red",,,"float_over,secci_disk,gopro_video_on_quadrat",,"Connie, Susan ",,,,,-70.7833778020654,42.2541909898093
71,b47b8560-4b99-4821-acb7-769690143231,8/1/2019 10:36:49 PM,,8/1/2019 10:36:49 PM,,8/1/2019 9:37:00 PM,50,,,,edge_visible_within_3_meters,,,"orange,larger_than_1_cm,epiphytes",,,seed_podsbranchiness,,"float_over,gopro_video_on_quadrat,gps_waypoint_marked",,,,,,,-70.7844268810663,42.2539684921897
